 Parton Distribution Table : CTEQ4F3                               
  Ordr, Nfl, lambda        Qmass 1,  2,  3,         4,  5,  6
    2.    3. 0.3850    0.000    0.000    0.200    1.600    5.000  180.000
   NX,  NT,  NfMx
   90   13    3
QINI, QMAX, (QV(I), I =0, NT)
 1.12770E-05 7.68272E-06 5.11121E-06 3.26738E-06 1.96253E-06 1.07162E-06
 5.06764E-07 1.88689E-07 4.47618E-08 3.42856E-09 0.00000E+00 1.79703E+06
 1.34848E+06 9.93087E+05 7.30859E+05 5.37541E+05 3.95044E+05 2.90130E+05
 2.12902E+05 1.56121E+05 1.14384E+05 8.37420E+04 6.12523E+04 4.47673E+04
 3.26873E+04 2.38472E+04 1.73802E+04 1.26560E+04 9.20612E+03 6.69067E+03
 4.85717E+03 3.52296E+03 2.55236E+03 1.84751E+03 1.33580E+03 9.64984E+02
 6.96317E+02 5.02217E+02 3.60208E+02 2.59435E+02 1.86737E+02 1.34386E+02
 9.66936E+01 6.95892E+01 5.01527E+01 3.61556E+01 2.61014E+01 1.88835E+01
 1.36933E+01 9.96078E+00 7.26804E+00 5.32575E+00 3.91675E+00 2.89249E+00
 2.14435E+00 1.59615E+00 1.19195E+00 8.94116E-01 6.71062E-01 5.05754E-01
 3.80992E-01 2.87592E-01 2.17107E-01 1.63858E-01 1.23526E-01 9.29759E-02
 6.98054E-02 5.22603E-02 3.89820E-02 2.89625E-02 2.14141E-02 1.57533E-02
 1.15212E-02 8.37088E-03 6.04801E-03 4.32923E-03 3.07348E-03 2.16420E-03
 1.51052E-03 1.04540E-03 7.17157E-04 4.88241E-04 3.30007E-04 2.21995E-04
 1.48699E-04 9.99571E-05 6.72592E-05 4.55763E-05 3.11240E-05 2.14312E-05
 1.48133E-05 1.02189E-05 6.95827E-06 4.60937E-06 2.92458E-06 1.73733E-06
 9.35125E-07 4.34013E-07 1.57762E-07 3.64728E-08 2.83017E-09 0.00000E+00
 2.20099E+06 1.64690E+06 1.20874E+06 8.86522E+05 6.49761E+05 4.75836E+05
 3.48216E+05 2.54602E+05 1.86013E+05 1.35777E+05 9.90278E+04 7.21551E+04
 5.25300E+04 3.82035E+04 2.77593E+04 2.01487E+04 1.46110E+04 1.05833E+04
 7.65844E+03 5.53544E+03 3.99700E+03 2.88268E+03 2.07695E+03 1.49463E+03
 1.07453E+03 7.71555E+02 5.53697E+02 3.95077E+02 2.83067E+02 2.02668E+02
 1.45059E+02 1.03797E+02 7.42793E+01 5.32260E+01 3.81460E+01 2.73742E+01
 1.96842E+01 1.41863E+01 1.02552E+01 7.43592E+00 5.41426E+00 3.95656E+00
 2.90325E+00 2.13863E+00 1.58176E+00 1.17372E+00 8.74918E-01 6.52545E-01
 4.88758E-01 3.65930E-01 2.74548E-01 2.06021E-01 1.54570E-01 1.15843E-01
 8.66885E-02 6.47136E-02 4.81748E-02 3.57347E-02 2.64036E-02 1.94165E-02
 1.42075E-02 1.03363E-02 7.47135E-03 5.37117E-03 3.82609E-03 2.70380E-03
 1.89571E-03 1.31800E-03 9.09109E-04 6.22035E-04 4.22761E-04 2.85608E-04
 1.92310E-04 1.29152E-04 8.71877E-05 5.90090E-05 4.02550E-05 2.76798E-05
 1.91702E-05 1.33020E-05 9.18425E-06 6.24055E-06 4.11079E-06 2.58599E-06
 1.51812E-06 8.04984E-07 3.66531E-07 1.30072E-07 2.93259E-08 2.30515E-09
 0.00000E+00 2.67301E+06 1.99443E+06 1.45886E+06 1.06632E+06 7.78837E+05
 5.68365E+05 4.14452E+05 3.01941E+05 2.19794E+05 1.59842E+05 1.16142E+05
 8.43030E+04 6.11365E+04 4.42886E+04 3.20527E+04 2.31710E+04 1.67335E+04
 1.20702E+04 8.69728E+03 6.25918E+03 4.49974E+03 3.23076E+03 2.31714E+03
 1.65975E+03 1.18760E+03 8.48625E+02 6.06011E+02 4.30209E+02 3.06664E+02
 2.18422E+02 1.55503E+02 1.10669E+02 7.87587E+01 5.61192E+01 3.99884E+01
